"Code","Collect","Preface","Liturgical Date","Calendar Date","Hebrew Reading","Psalm Reading","Epistle Reading","Gospel Reading"
"pentecost2","O God, who on this day taught the hearts of your faithful people by sending to them the light of your Holy Spirit: Grant us by the same Spirit to have a right judgment in all things, and evermore to rejoice in his holy comfort; through Jesus Christ your Son our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, for ever and ever.","pentecost","Day of Pentecost",,,,,
"pentecost1","Almighty God, on this day you opened the way of eternal life to every race and nation by the promised gift of your Holy Spirit: Shed abroad this gift throughout the world by the preaching of the Gospel, that it may reach to the ends of the earth; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, for ever and ever.","pentecost","Day of Pentecost","May 23, 2021","Acts 2:1-21 or Ezekiel 37:1-14","Psalm 104:24-34, 35b","Romans 8:22-27 or Acts 2:1-21","John 15:26-27; 16:4b-15"
"trinity","Almighty and everlasting God, you have given to us your servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of your divine Majesty to worship the Unity: Keep us steadfast in this faith and worship, and bring us at last to see you in your one and eternal glory, O Father; who with the Son and the Holy Spirit live and reign, one God, for ever and ever.","trinity","Trinity Sunday","May 30, 2021","Isaiah 6:1-8 and Psalm 29",,"Romans 8:12-17","John 3:1-17"
"visitation","Father in heaven, by your grace the virgin mother of your incarnate Son was blessed in bearing him, but still more blessed in keeping your word: Grant us who honor the exaltation of her lowliness to follow the example of her devotion to your will; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Visitation of Mary to Elizabeth ","May 31, 2021","1 Samuel 2:1-10 and Psalm 113",,"Romans 12:9-16b","Luke 1:39-57"
"proper1","Remember, O Lord, what you have wrought in us and not what we deserve; and, as you have called us to your service, make us worthy of our calling; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","none",,,,,,
"proper2","Almighty and merciful God, in your goodness keep us, we pray, from all things that may hurt us, that we, being ready both in mind and body, may accomplish with free hearts those things which belong to your purpose; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","none",,,,,,
"proper3","Grant, O Lord, that the course of this world may be peaceably governed by your providence; and that your Church may joyfully serve you in confidence and serenity; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","none",,,,,,
"proper4","O God, your never-failing providence sets in order all things both in heaven and earth: Put away from us, we entreat you, all hurtful things, and give us those things which are profitable for us; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday",,,,,,
"proper5","O God, from whom all good proceeds: Grant that by your inspiration we may think those things that are right, and by your merciful guiding may do them; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 5 (10)","June 6, 2021","1 Samuel 8:4-11, (12-15), 16-20, (11:14-15) and Psalm 138","Genesis 3:8-15 and Psalm 130","2 Corinthians 4:13-5:1","Mark 3:20-35"
"proper6","Keep, O Lord, your household the Church in your steadfast faith and love, that through your grace we may proclaim your truth with boldness, and minister your justice with compassion; for the sake of our Savior Jesus Christ, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 6 (11)","June 13, 2021","1 Samuel 15:34 - 16:13 and Psalm 20","Ezekiel 17:22-24 and Psalm 92:1-4, 12-15","2 Corinthians 5:6-10, (11-13), 14-17","Mark 4:26-34"
"proper7","O Lord, make us have perpetual love and reverence for your holy Name, for you never fail to help and govern those whom you have set upon the sure foundation of your loving-kindness; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 7 (12)","June 20, 2021","1 Samuel 17:(1a, 4-11, 19-23), 32-49 and Psalm 9:9-20 or 1 Samuel 17:57-18:5, 18:10-16 and Psalm 133","Job 38:1-11 and Psalm 107:1-3, 23-32","2 Corinthians 6:1-13","Mark 4:35-41"
