2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
03/14/21,,,224,lent4,The Fourth Sunday in Lent,lent,stt/2021/preparing-covid,,he/greeting/blessthelord,he/penitentialorder,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 107:1-3, 17-22",Numbers 21:4-9,Ephesians 2:1-10,John 3:14-21,
03/19/21,,March 19,343,stjoseph,Saint Joseph,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 89:1-29,"2 Samuel 7:4,8-16",Romans 4:13-18,Luke 2:41-52,
03/21/21,,,225,lent5,The Fifth Sunday in Lent,lent,stt/2021/preparing-covid,,he/greeting/blessthelord,he/penitentialorder,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 51:1-13,Jeremiah 31:31-34,Hebrews 5:5-10,John 12:20-33,
03/25/21,,March 25,303,annunciation,The Annunciation of Our Lord Jesus Christ to the Blessed Virgin Mary,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/mary-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 45,Isaiah 7:10-14,Hebrews 10:4-10,Luke 1:26-38,
03/28/21,,,226,palmsunday,The Sunday of the Passion: Palm Sunday,holyweek,stt/2021/preparing-covid,,he/palmsunday/palms/b,,,he/psalms/responsively,,,he/palmsunday/passion/b,,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingpalmsunday,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 31:9-16,Isaiah 50:4-9a,Philippians 2:5-11,Mark 14:1-15:47,
03/29/21,,,402,holymonday,Monday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingpalmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 36:5-11,Isaiah 42:1-9,Hebrews 9:11-15,John 12:1-11,
03/30/21,,,403,holytuesday,Tuesday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingpalmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 71:1-14,Isaiah 49:1-7,1 Corinthians 1:18-31,John 12:20-36,
03/31/21,,,404,holywednesday,Wednesday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingpalmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 70,Isaiah 50:4-9a,Hebrews 12:1-3,John 13:21-32,
04/01/21,,,405,maundythursday,Maundy Thursday,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/maundythursday,he/pop/lordhavemercy,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingpalmsunday,,,,stt/2021/postscript-covid,"Psalm 116:1, 10-17",Exodus 12:1-14,1 Corinthians 11:23-26,"John 13:1-17, 31b-35",
04/02/21,,,406,goodfriday,Good Friday,holyweek,stt/2021/preparing-covid,,he/greeting/goodfriday,,,he/psalms/responsively,,,he/goodfriday/passion-homily,he/goodfriday/hymn,he/goodfriday/solemncollects,he/goodfriday/hymn-devotions,he/goodfriday/shortconclusion,,,,,,,,,,,,,,,stt/2021/postscript-covid,Psalm 22,Isaiah 52:13-53:12,Hebrews 10:16-25,John 18:1-19:42,
