2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Preface,Prepare,HymnEntrance,Greeting,Collect for Purity,Song of Praise,Psalm,Sequence,Homily,Creed,Prayers,Confession,Peace,Announcements,Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Communion Hymn,Post-Communion,Blessing,Procession,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel
10/31/21,,,276,proper26,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 146,Ruth 1:1-18,Hebrews 9:11-14,Mark 12:28-34
11/01/21,November 1,November 1 – following Sunday,110,allsaints,allsaints,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 24,Wisdom of Solomon 3:1-9,Revelation 21:1-6a,John 11:32-44
11/07/21,,,277,proper27,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 127,Ruth 3:1-5; 4:13-17,Hebrews 9:24-28,Mark 12:38-44
11/14/21,,,278,proper28,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,1 Samuel 2:1-10,1 Samuel 1:4-20,Hebrews 10:11-25,Mark 13:1-8
11/21/21,,,279,proper29,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 132,2 Samuel 23:1-7,Revelation 1:4b-8,John 18:33-37
11/25/21,,,349,thanksgiving,trinity,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 126,Joel 2:21-27,1 Timothy 2:1-7,Matthew 6:25-33
,,,216,epiphany6,epiphany,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 30,2 Kings 5:1-14,1 Corinthians 9:24-27,Mark 1:40-45
,,,217,epiphany7,epiphany,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 41,Isaiah 43:18-25,2 Corinthians 1:18-22,Mark 2:1-12
,,,218,epiphany8,epiphany,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 103:1-13, 22",Hosea 2:14-20,2 Corinthians 3:1-6,Mark 2:13-22
,,,251,proper1,none,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 30,2 Kings 5:1-14,1 Corinthians 9:24-27,Mark 1:40-45
,,,252,proper2,none,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 41,Isaiah 43:18-25,2 Corinthians 1:18-22,Mark 2:1-12
,,,253,proper3,none,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 103:1-13, 22",Hosea 2:14-20,2 Corinthians 3:1-6,Mark 2:13-22
,,,254,proper4,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 139:1-5, 12-17",1 Samuel 3:1-20,2 Corinthians 4:5-12,Mark 2:23-3:6
,,,102,ascension1,easter,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 118:1-2, 14-24",Isaiah 25:6-9,Acts 10:34-43,Mark 16:1-8
,,,103,ascension2,easter,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 118:1-2, 14-24",Isaiah 25:6-9,Acts 10:34-43,Mark 16:1-8
,,,106,ascension2,ascension,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 47,Acts 1:1-11,Ephesians 1:15-23,Luke 24:44-53
,,,108,pentecost2,pentecost,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 104:24-34, 35b",Ezekiel 37:1-14,Acts 2:1-21,John 15:26-27; 16:4b-15
